First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Harry,Chapman,M,2,Equal,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,2,8,1,0,0,0,2,0,3,5,9,50,4,50,5,30,1,1,0,100,0.1,Any,
Nina,Holtz,F,2,Equal,,Germany,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,2,6,0,0,5,0,14,0,9,10,10,50,4,50,5,30,1,1,0,100,0.1,Any,
Zoe,Sharp,F,3,One,,Australia,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,4,3,0,0,7,0,2,0,7,4,5,50,5,50,5,30,1,1,0,100,0.1,Any,
Nicolai,Surikov,M,3,Two,,RussianFederation,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,2,6,3,0,5,0,8,0,0,3,2,50,2,50,5,30,1,1,0,100,0.1,Any,
Aki,Lipponen,M,4,Equal,,Finland,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,3,2,0,0,0,0,5,0,4,5,9,50,3,50,5,30,1,1,0,100,0.1,Any,
Ana,Oliveira,F,4,Equal,,Brazil,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,4,7,0,0,1,0,16,0,3,6,0,50,5,50,5,30,1,1,0,100,0.1,Any,
Dieter,Wexler,M,5,One,,Germany,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,3,6,0,0,11,0,8,0,2,5,9,50,2,50,5,30,1,1,0,100,0.1,Any,
Niilo,Saarinen,M,5,Two,,Finland,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,1,1,1,0,0,0,12,0,6,6,10,50,4,50,5,30,1,1,0,100,0.1,Any,
Javier,Vázquez,M,6,One,,Spain,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,2,8,3,0,5,0,2,0,7,0,3,50,4,50,5,30,1,1,0,100,0.1,Any,
Jenny,North,F,6,Two,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,4,6,1,0,5,0,2,0,3,5,4,50,1,50,5,30,1,1,0,100,0.1,Any,
Wolfgang,Schmidt,M,7,One,,Germany,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,4,4,0,0,10,0,2,0,3,0,2,50,1,50,5,30,1,1,0,100,0.1,Any,
Maria,Gonzalez,F,7,Two,,Mexico,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,3,8,0,0,1,0,1,0,6,2,5,50,5,50,5,30,1,1,0,100,0.1,Any,
Rick,de Graaf,M,8,Equal,,Netherlands,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,3,2,0,0,0,0,14,0,9,1,2,50,4,50,5,30,1,1,0,100,0.1,Any,
Lucía,Flores,F,8,Equal,,Spain,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,2,6,0,0,1,0,15,0,10,2,8,50,2,50,5,30,1,1,0,100,0.1,Any,
Samuel,Blanc,M,9,Equal,,France,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,3,7,1,0,8,0,11,0,2,0,9,50,3,50,5,30,1,1,0,100,0.1,Any,
Alejandro,Moreno,M,9,Equal,,Venezuela,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,2,8,0,0,5,0,5,0,7,0,2,50,4,50,5,30,1,1,0,100,0.1,Any,
Siri,Lundqvist,F,10,Equal,,Sweden,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,2,4,0,0,6,0,16,0,10,5,0,50,1,50,5,30,1,1,0,100,0.1,Any,
Esteban,Ribeiro,M,10,Equal,,Brazil,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,0,4,0,0,0,0,5,0,1,3,8,50,4,50,5,30,1,1,0,100,0.1,Any,
Jeremy,Woodford,M,11,Equal,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,4,8,0,0,1,0,3,0,5,8,4,50,5,50,5,30,1,1,0,100,0.1,Any,
Iker,Vidal,M,11,Equal,,Spain,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,1,7,1,0,7,0,1,0,9,7,10,50,3,50,5,30,1,1,0,100,0.1,Any,
Pascal,Becker,M,2,Reserve,,Germany,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,1,2,0,0,0,0,16,0,5,7,4,50,4,50,5,30,1,1,0,100,0.1,Any,
Camille,Piaget,F,3,Reserve,,Switzerland,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,2,8,0,0,0,0,6,0,6,9,2,50,1,50,5,30,1,1,0,100,0.1,Any,
Sanjay,Modi,M,4,Reserve,,India,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,6,7,0,0,1,0,16,0,10,1,5,50,1,50,5,30,1,1,0,100,0.1,Any,
Carla,Espinoza,F,5,Reserve,,Spain,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,4,1,9,0,0,0,0,11,0,0,6,6,50,3,50,5,30,1,1,0,100,0.1,Any,
Jens,Bergman,M,6,Reserve,,Sweden,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,1,7,0,0,6,0,0,0,8,10,7,50,5,50,5,30,1,1,0,100,0.1,Any,
Cristiano,De Oeste,M,7,Reserve,,Argentina,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,0,4,1,0,0,0,9,0,4,1,1,50,5,50,5,30,1,1,0,100,0.1,Any,
Frida,Fischer,F,8,Reserve,,Austria,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,4,5,1,0,0,0,10,0,0,8,7,50,4,50,5,30,1,1,0,100,0.1,Any,
Oli,Clarke Smith,M,9,Reserve,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,3,2,0,0,4,0,16,0,9,1,4,50,4,50,5,30,1,1,0,100,0.1,Any,
Roberto,Persanni,M,10,Reserve,,Italy,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,6,8,1,0,8,0,10,0,7,8,5,50,4,50,5,30,1,1,0,100,0.1,Any,
Zak,Hamilton,M,11,Reserve,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,4,0,4,0,9,0,6,0,0,7,0,50,1,50,5,30,1,1,0,100,0.1,Any,
Gustavo,Costa,M,12,Equal,,Portugal,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,2,8,0,0,8,0,5,0,0,0,3,50,2,50,5,30,1,1,0,100,0.1,Any,
Ricardo,Costa,M,12,Equal,,Portugal,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,4,8,1,0,4,0,1,0,0,6,7,50,4,50,5,30,1,1,0,100,0.1,Any,
Guillermo,Almeida,M,13,One,,Colombia,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,0,8,0,0,6,0,15,0,9,3,3,50,4,50,5,30,1,1,0,100,0.1,Any,
Jessica,Munroe,F,13,Two,,UnitedStates,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,2,2,0,0,0,0,15,0,3,9,6,50,3,50,5,30,1,1,0,100,0.1,Any,
Freya,Larsen,F,14,Equal,,Denmark,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,4,9,1,0,0,0,6,0,7,4,5,50,2,50,5,30,1,1,0,100,0.1,Any,
Johnny,Navarro,M,14,Equal,,Venezuela,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,3,3,0,0,0,0,8,0,3,5,0,50,2,50,5,30,1,1,0,100,0.1,Any,
Molly,Fox,F,15,One,,UnitedStates,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,6,6,1,0,0,0,4,0,9,1,3,50,1,50,5,30,1,1,0,100,0.1,Any,
Ellie,Nightingale,F,15,Two,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,3,4,0,0,0,0,7,0,3,9,9,50,3,50,5,30,1,1,0,100,0.1,Any,
Mattias,De Wolf,M,16,One,,Belgium,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,4,7,3,0,2,0,8,0,8,2,0,50,4,50,5,30,1,1,0,100,0.1,Any,
Go,Kanjiro,F,16,Two,,Japan,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,2,7,0,0,0,0,0,0,6,7,2,50,1,50,5,30,1,1,0,100,0.1,Any,
Kareem,Shah,M,17,One,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,3,9,0,0,11,0,16,0,2,7,6,50,2,50,5,30,1,1,0,100,0.1,Any,
Alex,Willis,M,17,Two,,UnitedStates,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,2,3,0,0,1,0,10,0,0,9,4,50,3,50,5,30,1,1,0,100,0.1,Any,
Michelle,Cooper,F,18,Equal,,NewZealand,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,0,5,7,0,0,0,0,8,0,9,7,3,50,2,50,5,30,1,1,0,100,0.1,Any,
Artem,Mikhailovic,M,18,Equal,,RussianFederation,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,3,7,8,4,0,5,0,11,0,5,0,9,50,2,50,5,30,1,1,0,100,0.1,Any,
Niccolo',Strambi,M,19,Equal,,Italy,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,4,8,1,0,10,0,3,0,5,8,2,50,3,50,5,30,1,1,0,100,0.1,Any,
Jonas,Braunlich,M,19,Equal,,Austria,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,5,3,0,0,0,0,13,0,5,8,1,50,3,50,5,30,1,1,0,100,0.1,Any,
Johan,Sylvander,M,20,Equal,,Sweden,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,2,2,5,1,0,0,0,11,0,9,2,2,50,1,50,5,30,1,1,0,100,0.1,Any,
Estela,Batista,F,20,Equal,,Brazil,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,5,5,7,0,0,5,0,15,0,9,4,6,50,1,50,5,30,1,1,0,100,0.1,Any,
Laura,Ingledew,F,21,Equal,,UK,31/03/1996,,0,0,69,1,2000,1999,,,,,0,0,1,1,1,1,1,1,1,1,1,0.5,16,,,,,,,,,,,n/a,0,50,80,160,5,100,100,100,1,2,3,2,0,0,0,2,0,8,3,3,50,1,50,5,30,1,1,0,100,0.1,Any,
