First Name,Last Name,Gender,Team,Nationality,DOB,Engine,Gearbox,Brakes,Front Wing,Rear Wing,Suspension,Known Components,Wages,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Paddy,Lock,M,2,Ireland,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,3,6,3,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Rachel,Adams,F,3,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,9,10,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Pat,Russell,M,4,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,10,3,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
James,Kelly,M,5,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,3,11,1,0,3,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Sarah,Kane,F,6,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,10,8,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Andrew,Hawkins,M,7,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,11,3,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Jim,Harris,M,8,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,4,9,0,0,11,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Moira,Lynch,F,9,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,6,7,0,0,10,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Eric,Rousseau,M,10,France,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,6,9,0,1,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Jenny,Whitehouse,F,11,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,0,3,0,0,9,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Bernado,Dias,M,12,Portugal,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,6,10,0,0,1,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Scott,Moore,M,13,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,7,9,0,0,4,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Callum,Hamilton,M,14,UnitedStates,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,5,11,3,0,1,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Clark,Evans,M,15,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,11,3,0,0,11,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Roman,Vasiliev,M,16,RussianFederation,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,3,10,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Dennis,Ozanne,M,17,France,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,6,7,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Danielle,Swanepoel,F,18,SouthAfrica,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,8,9,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Marlon,Fabbri,M,19,Italy,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,10,0,0,0,8,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Leonardo,Crespo,M,20,Italy,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,1,11,2,0,10,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Philipp,Wolf,M,21,Germany,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,3,8,3,0,2,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Roxanne,Barnard,F,22,UnitedStates,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,5,9,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Nahuel,Joshi,M,23,India,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,6,1,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Mary,Dutost,F,24,Canada,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,2,7,0,0,11,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Niko,Nylund,M,25,Finland,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,5,4,8,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Kieran,Belkus,M,26,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,6,6,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Mariana,Romero,F,27,Brazil,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,0,6,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Jia,Rén,M,28,China,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,5,6,9,0,0,4,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Charlotte,Williams,F,29,Australia,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,10,9,1,0,10,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Peter,O'Sullivan,M,30,UnitedStates,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,9,11,0,0,4,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Günther,Ziegler,M,31,Germany,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,7,11,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Claire,White,F,32,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,7,2,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Fredrick,Kelley,M,33,Austria,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,5,1,8,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Consuelo,Vivas,F,34,Spain,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,3,6,9,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
John,O'Brien,M,35,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,6,11,0,0,9,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Mitchell,Abrahams,M,36,SouthAfrica,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,0,11,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Braylen,Stockwell,M,37,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,6,7,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Anna,Navarre,F,38,Austria,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,4,2,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Karen,Jones,F,39,UnitedStates,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,1,8,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Peter,Dunphy,M,40,UnitedStates,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,1,1,0,0,7,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Alesky,Kowalski,M,41,Poland,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,0,10,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Andrea,Bosco,F,42,Italy,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,2,5,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Nikhil,Doublet,M,43,France,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,5,11,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Charlotte,Barker,F,44,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,10,9,0,0,2,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Reginald,Bristow,M,45,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,4,9,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Ruby,Smith,F,46,UnitedStates,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,5,5,7,0,0,2,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Ibrahim,Croshaw,M,47,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,3,5,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Mia,Keller,F,48,Germany,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,4,2,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Kai,Henriksen,M,49,Denmark,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,2,11,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Isai,Nolde,M,50,Sweden,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,2,1,1,0,0,10,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Laura,Jackson,F,51,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,1,7,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Ian,Brown,M,52,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,8,8,0,0,2,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Anne,Ouinville,F,53,France,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,4,10,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Lilith,Koskinen,F,54,Finland,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,1,10,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Freddie,Cooper,M,55,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,2,11,0,0,5,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Paul,Trenoweth,M,56,Australia,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,7,7,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Karina,Rider,F,57,Denmark,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,1,3,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Wayne,Bellows,M,58,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,0,6,7,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Katie,Paulson,F,59,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,0,10,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Bradley,Spier,M,60,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,6,6,1,0,2,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Sip,Jung Ah,F,61,SouthKorea,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,4,6,6,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Keiji,Fujiwara,M,62,Japan,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,7,0,0,1,2,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Luke,Savage,M,63,UK,02/11/1991,1,1,1,1,1,1,,0.1,1999,2000,5,1,10,2,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Vasily,Sokolov,M,,RussianFederation,02/11/1991,1,1,1,1,1,1,,,,,5,2,3,0,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Ken,Obi,M,,Nigeria,02/11/1991,1,1,1,1,1,1,,,,,5,4,2,7,1,0,3,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Etsuko,Hasimoto,F,,Japan,02/11/1991,1,1,1,1,1,1,,,,,5,1,2,2,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Houston,Woods,M,,UnitedStates,02/11/1991,1,1,1,1,1,1,,,,,5,1,10,5,0,0,3,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Giovenino,Apicella,M,,Italy,02/11/1991,1,1,1,1,1,1,,,,,5,2,4,2,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Luise,Hecke,F,,Germany,02/11/1991,1,1,1,1,1,1,,,,,5,4,5,7,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Theo,Fraser,M,,UK,02/11/1991,1,1,1,1,1,1,,,,,5,2,6,3,0,0,8,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Naomi,Matthews,F,,Ireland,02/11/1991,1,1,1,1,1,1,,,,,5,2,8,6,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Keira,Harris,F,,Canada,02/11/1991,1,1,1,1,1,1,,,,,5,1,1,5,0,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
Scarlett,Moore,F,,UK,02/11/1991,1,1,1,1,1,1,,,,,5,2,7,4,1,0,0,110,50,50,5,0,0,0,0,0,0,0,0,0,0.1
