First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Jeffrey,Bacheler,M,2,1,UK,22/05/1992,1,1,1,1,1,1,0.1,10;15,0,0,1999,2000,5,1,9,9,0,0,0,110,50,50,5,,,,,,,,,,0.1
Aron,Schaffer,M,2,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,2;14,0,0,1999,2000,5,1,3,5,0,0,3,110,50,50,5,,,,,,,,,,0.1
Darian,Frichet,M,3,1,France,22/05/1992,1,1,1,1,1,1,0.1,13;19,0,0,1999,2000,5,1,7,6,1,0,5,110,50,50,5,,,,,,,,,,0.1
Tom,van Zanten,M,3,2,Netherlands,22/05/1992,1,1,1,1,1,1,0.1,3;18,0,0,1999,2000,5,0,8,2,0,0,0,110,50,50,5,,,,,,,,,,0.1
Scarlett,Harrison,F,4,1,UK,22/05/1992,1,1,1,1,1,1,0.1,4;17,0,0,1999,2000,5,0,10,1,1,1,0,110,50,50,5,,,,,,,,,,0.1
Darryl,Sparrow,M,4,2,UK,22/05/1992,1,1,1,1,1,1,0.1,1;21,0,0,1999,2000,5,0,3,2,0,0,5,110,50,50,5,,,,,,,,,,0.1
Abi,Hamilton,F,5,1,UK,22/05/1992,1,1,1,1,1,1,0.1,7;20,0,0,1999,2000,5,0,3,8,0,0,11,110,50,50,5,,,,,,,,,,0.1
Griffin,Clark,M,5,2,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,9;18,0,0,1999,2000,5,0,8,7,2,0,1,110,50,50,5,,,,,,,,,,0.1
Donald,Stream,M,6,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,10;17,0,0,1999,2000,5,1,5,5,0,0,4,110,50,50,5,,,,,,,,,,0.1
Richard,Sherman,M,6,2,UK,22/05/1992,1,1,1,1,1,1,0.1,3;20,0,0,1999,2000,5,0,10,6,0,0,1,110,50,50,5,,,,,,,,,,0.1
Valentin,Fiske,M,7,1,UK,22/05/1992,1,1,1,1,1,1,0.1,13;15,0,0,1999,2000,5,0,10,6,0,0,1,110,50,50,5,,,,,,,,,,0.1
Emerson,Hystand,M,7,2,Sweden,22/05/1992,1,1,1,1,1,1,0.1,8;18,0,0,1999,2000,5,0,2,7,3,1,3,110,50,50,5,,,,,,,,,,0.1
Ali,Laekens,F,8,1,Denmark,22/05/1992,1,1,1,1,1,1,0.1,2;19,0,0,1999,2000,5,0,7,4,0,0,0,110,50,50,5,,,,,,,,,,0.1
Santos,Germaine,M,8,2,France,22/05/1992,1,1,1,1,1,1,0.1,12;21,0,0,1999,2000,5,4,11,5,0,1,2,110,50,50,5,,,,,,,,,,0.1
Yusuf,Cannon,M,9,1,UK,22/05/1992,1,1,1,1,1,1,0.1,4;20,0,0,1999,2000,5,0,10,9,0,0,6,110,50,50,5,,,,,,,,,,0.1
Ant,Skilton,M,9,2,UK,22/05/1992,1,1,1,1,1,1,0.1,1;20,0,0,1999,2000,5,1,7,6,3,0,1,110,50,50,5,,,,,,,,,,0.1
Richard,McClusky,M,10,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,3;17,0,0,1999,2000,5,1,5,6,0,1,0,110,50,50,5,,,,,,,,,,0.1
Scott,Hopkins,M,10,2,UK,22/05/1992,1,1,1,1,1,1,0.1,4;19,0,0,1999,2000,5,1,8,8,0,0,5,110,50,50,5,,,,,,,,,,0.1
Mary,Paddock,F,11,1,UnitedStates,22/05/1992,1,1,1,1,1,1,0.1,1;17,0,0,1999,2000,5,5,4,9,0,1,5,110,50,50,5,,,,,,,,,,0.1
Stuart,Yarnham,M,11,2,UK,22/05/1992,1,1,1,1,1,1,0.1,7;18,0,0,1999,2000,5,0,7,6,0,0,6,110,50,50,5,,,,,,,,,,0.1
Sarah,Simmons,F,12,1,Ireland,22/05/1992,1,1,1,1,1,1,0.1,10;19,0,0,1999,2000,5,2,3,3,2,0,1,110,50,50,5,,,,,,,,,,0.1
Hermann,Schuyler,M,12,2,Germany,22/05/1992,1,1,1,1,1,1,0.1,3;14,0,0,1999,2000,5,0,7,8,0,0,1,110,50,50,5,,,,,,,,,,0.1
Konner,Jergin,M,13,1,Germany,22/05/1992,1,1,1,1,1,1,0.1,8;18,0,0,1999,2000,5,4,11,5,0,0,3,110,50,50,5,,,,,,,,,,0.1
David,Contri,M,13,2,Italy,22/05/1992,1,1,1,1,1,1,0.1,13;14,0,0,1999,2000,5,1,11,9,0,0,1,110,50,50,5,,,,,,,,,,0.1
